created_at,tweet_id,retweet_count,favorite_count
Tue Aug 01 16:23:56 +0000 2017,892420643555336193,8853,39467
Tue Aug 01 00:17:27 +0000 2017,892177421306343426,6514,33819
Mon Jul 31 00:18:03 +0000 2017,891815181378084864,4328,25461
Sun Jul 30 15:58:51 +0000 2017,891689557279858688,8964,42908
Sat Jul 29 16:00:24 +0000 2017,891327558926688256,9774,41048
Sat Jul 29 00:08:17 +0000 2017,891087950875897856,3261,20562
Fri Jul 28 16:27:12 +0000 2017,890971913173991426,2158,12041
Fri Jul 28 00:22:40 +0000 2017,890729181411237888,16716,56848
Thu Jul 27 16:25:51 +0000 2017,890609185150312448,4429,28226
Wed Jul 26 15:59:51 +0000 2017,890240255349198849,7711,32467
Wed Jul 26 00:31:25 +0000 2017,890006608113172480,7624,31166
Tue Jul 25 16:11:53 +0000 2017,889880896479866881,5156,28268
Tue Jul 25 01:55:32 +0000 2017,889665388333682689,8538,38818
Tue Jul 25 00:10:02 +0000 2017,889638837579907072,4735,27672
Mon Jul 24 17:02:04 +0000 2017,889531135344209921,2321,15359
Mon Jul 24 00:19:32 +0000 2017,889278841981685760,5637,25652
Sun Jul 23 00:22:39 +0000 2017,888917238123831296,4709,29611
Sat Jul 22 16:56:37 +0000 2017,888804989199671297,4559,26080
Sat Jul 22 00:23:06 +0000 2017,888554962724278272,3732,20290
Thu Jul 20 16:49:33 +0000 2017,888078434458587136,3653,22201
Wed Jul 19 16:06:48 +0000 2017,887705289381826560,5609,30779
Wed Jul 19 03:39:09 +0000 2017,887517139158093824,12082,46959
Wed Jul 19 00:47:34 +0000 2017,887473957103951883,18781,69871
Tue Jul 18 16:08:03 +0000 2017,887343217045368832,10737,34222
Tue Jul 18 00:07:08 +0000 2017,887101392804085760,6167,31061
Mon Jul 17 16:17:36 +0000 2017,886983233522544640,8084,35859
Sun Jul 16 23:58:41 +0000 2017,886736880519319552,3443,12306
Sun Jul 16 20:14:00 +0000 2017,886680336477933568,4610,22798
Sat Jul 15 23:25:31 +0000 2017,886366144734445568,3316,21524
Sat Jul 15 16:51:35 +0000 2017,886267009285017600,4,117
Sat Jul 15 16:17:19 +0000 2017,886258384151887873,6523,28469
Sat Jul 15 02:45:48 +0000 2017,886054160059072513,108,0
Fri Jul 14 22:10:11 +0000 2017,885984800019947520,7097,33382
Thu Jul 13 15:58:47 +0000 2017,885528943205470208,6683,36689
Thu Jul 13 15:19:09 +0000 2017,885518971528720385,3899,20788
Thu Jul 13 01:35:06 +0000 2017,885311592912609280,19297,0
Wed Jul 12 16:03:00 +0000 2017,885167619883638784,4556,22367
Wed Jul 12 00:01:00 +0000 2017,884925521741709313,16439,68152
Tue Jul 11 20:47:12 +0000 2017,884876753390489601,6096,28514
Tue Jul 11 00:00:02 +0000 2017,884562892145688576,5100,24765
Mon Jul 10 15:58:53 +0000 2017,884441805382717440,5856,27478
Mon Jul 10 03:08:17 +0000 2017,884247878851493888,21298,74423
Sun Jul 09 21:29:42 +0000 2017,884162670584377345,3128,20771
Sun Jul 09 00:00:04 +0000 2017,883838122936631299,3586,22349
Sat Jul 08 00:28:19 +0000 2017,883482846933004288,10407,46860
Fri Jul 07 16:22:55 +0000 2017,883360690899218434,3825,22986
Fri Jul 07 00:17:54 +0000 2017,883117836046086144,6949,37914
Thu Jul 06 15:58:11 +0000 2017,882992080364220416,4122,24445
Thu Jul 06 00:46:41 +0000 2017,882762694511734784,5134,28903
Wed Jul 05 15:48:34 +0000 2017,882627270321602560,6342,28382
Tue Jul 04 16:01:23 +0000 2017,882268110199369728,12118,45880
Tue Jul 04 01:18:17 +0000 2017,882045870035918850,5203,29900
Mon Jul 03 16:04:48 +0000 2017,881906580714921986,3533,24773
Mon Jul 03 00:11:11 +0000 2017,881666595344535552,11099,51522
Sun Jul 02 21:58:53 +0000 2017,881633300179243008,7,129
Sun Jul 02 15:32:16 +0000 2017,881536004380872706,16570,50199
Sat Jul 01 21:49:04 +0000 2017,881268444196462592,5358,23501
Fri Jun 30 23:47:07 +0000 2017,880935762899988482,2886,17346
Fri Jun 30 19:35:32 +0000 2017,880872448815771648,3989,21734
Thu Jun 29 16:39:47 +0000 2017,880465832366813184,6546,29075
Thu Jun 29 00:27:25 +0000 2017,880221127280381952,4436,27640
Wed Jun 28 16:09:20 +0000 2017,880095782870896641,4533,28150
Wed Jun 28 00:42:13 +0000 2017,879862464715927552,3642,22667
Tue Jun 27 12:14:36 +0000 2017,879674319642796034,10,315
Tue Jun 27 00:10:17 +0000 2017,879492040517615616,3323,23822
Mon Jun 26 19:07:24 +0000 2017,879415818425184262,45849,107956
Mon Jun 26 16:31:08 +0000 2017,879376492567855104,3261,17099
Mon Jun 26 00:13:58 +0000 2017,879130579576475649,7181,0
Sun Jun 25 18:56:45 +0000 2017,879050749262655488,4941,23022
Sun Jun 25 16:07:47 +0000 2017,879008229531029506,2812,19317
Sun Jun 25 00:45:22 +0000 2017,878776093423087618,4319,19763
Sat Jun 24 13:24:20 +0000 2017,878604707211726852,7582,30931
Sat Jun 24 00:09:53 +0000 2017,878404777348136964,1349,0
Fri Jun 23 18:17:33 +0000 2017,878316110768087041,6965,0
Fri Jun 23 16:00:04 +0000 2017,878281511006478336,1349,7913
Fri Jun 23 01:10:23 +0000 2017,878057613040115712,7181,42876
Thu Jun 22 03:54:17 +0000 2017,877736472329191424,17300,71144
Wed Jun 21 19:36:23 +0000 2017,877611172832227328,83,0
Wed Jun 21 15:58:08 +0000 2017,877556246731214848,3994,23258
Wed Jun 21 00:06:44 +0000 2017,877316821321428993,5414,27907
Tue Jun 20 16:29:50 +0000 2017,877201837425926144,5880,27755
Mon Jun 19 16:24:33 +0000 2017,876838120628539392,3506,21125
Sun Jun 18 20:30:39 +0000 2017,876537666061221889,4800,23869
Sun Jun 18 16:57:37 +0000 2017,876484053909872640,2511,19163
Sat Jun 17 16:52:05 +0000 2017,876120275196170240,4903,28490
Fri Jun 16 16:11:53 +0000 2017,875747767867523072,4497,25773
Thu Jun 15 00:13:52 +0000 2017,875144289856114688,5081,22185
Wed Jun 14 21:06:43 +0000 2017,875097192612077568,6342,27997
Wed Jun 14 16:04:48 +0000 2017,875021211251597312,4922,26022
Tue Jun 13 17:29:20 +0000 2017,874680097055178752,4875,28439
Tue Jun 13 01:14:41 +0000 2017,874434818259525634,15546,0
Mon Jun 12 16:06:11 +0000 2017,874296783580663808,4308,26651
Mon Jun 12 00:15:36 +0000 2017,874057562936811520,4125,23134
Sun Jun 11 21:18:31 +0000 2017,874012996292530176,11007,35501
Sun Jun 11 00:25:14 +0000 2017,873697596434513921,12518,0
Sat Jun 10 16:39:04 +0000 2017,873580283840344065,4143,24837
Sat Jun 10 00:35:19 +0000 2017,873337748698140672,1667,0
Fri Jun 09 16:22:42 +0000 2017,873213775632977920,1667,7467
Fri Jun 09 00:02:31 +0000 2017,872967104147763200,5669,28031
